 ,X,Y
533,283,209
534,500,180
535,786,174
536,514,147
537,449,126
538,179,100
539,44,61
540,274,52
541,695,40
542,402,21
543,282,774
544,361,755
545,166,690
546,594,688
547,157,659
548,377,652
549,379,615
550,0,592
551,198,559
552,143,524
553,144,509
554,720,454
555,728,398
556,516,373
557,503,354
558,569,300
559,289,189
560,416,188
561,599,176
562,99,152
563,439,141
564,335,43
565,81,12
566,440,7
567,572,794
568,464,773
569,531,764
570,195,745
571,335,710
572,73,691
573,524,674
574,448,668
575,568,659
576,5,658
577,471,651
578,370,634
579,104,603
580,542,455
581,527,432
582,732,384
583,630,338
584,41,334
585,432,321
586,571,191
587,519,81
588,58,63
589,268,58
590,508,35
591,722,30
592,252,28
593,396,24
594,381,8
595,321,788
596,326,772
597,530,727
598,421,679
599,509,671
600,132,667
601,222,653
602,632,576
603,565,562
604,673,539
605,622,508
606,254,448
607,544,421
608,659,419
609,402,354
610,485,337
611,209,294
612,746,259
613,25,246
614,667,238
615,501,219
616,633,210
617,727,202
618,738,172
619,628,126
620,630,121
621,693,103
622,421,795
623,283,787
624,505,780
625,46,757
626,236,677
627,174,672
628,364,657
629,601,615
630,604,609
631,335,606
632,36,570
633,619,546
634,545,513
635,128,466
636,682,461
637,707,458
638,640,407
639,756,405
640,536,362
641,654,318
642,535,192
643,11,191
644,638,187
645,553,175
646,347,110
647,676,83
648,213,75
649,499,52
650,431,42
651,29,0
652,556,768
653,171,741
654,512,740
655,270,703
656,497,686
657,546,654
658,592,635
659,681,612
660,303,586
661,411,537
662,126,532
663,538,529
664,736,471
665,759,462
666,639,461
667,564,444
668,790,255
669,141,233
670,458,229
671,390,189
672,102,110
673,553,97
674,776,54
675,170,27
676,344,25
677,285,4
678,61,794
679,663,784
680,329,783
681,630,779
682,438,750
683,607,709
684,409,695
685,372,684
686,360,671
687,627,644
688,542,637
689,158,602
690,586,334
691,4,287
692,623,250
693,384,242
694,505,184
695,0,176
696,280,165
697,25,82
698,156,67
699,461,37
700,161,23
701,335,788
702,627,784
703,220,784
704,470,780
705,501,757
706,622,756
707,329,742
708,501,727
709,183,719
710,555,715
711,428,684
712,378,676
713,665,672
714,701,618
715,554,581
716,662,560
717,299,553
718,605,548
719,594,541
720,659,511
721,616,425
722,793,401
723,12,397
724,580,391
725,623,361
726,493,360
727,711,339
728,676,329
729,562,323
730,679,307
731,350,135
732,483,125
733,565,116
734,326,99
735,198,71
736,393,28
737,467,799
738,482,750
739,178,667
740,690,662
741,17,656
742,726,647
743,379,638
744,383,632
745,560,598
746,82,565
747,165,529
748,583,526
749,705,496
750,673,473
751,65,446
752,598,437
753,459,303
754,704,265
755,564,230
756,590,223
757,676,175
758,459,152
759,372,129
760,586,103
761,158,56
762,443,48
763,351,45
764,274,21
765,36,788
766,405,783
767,529,771
768,636,757
769,347,747
770,559,725
771,24,723
772,561,709
773,47,678
774,404,677
775,763,635
776,671,627
777,676,599
778,495,548
779,647,543
780,717,533
781,537,511
782,647,509
783,504,500
784,745,498
785,562,476
786,692,432
787,528,413
788,647,306
789,702,250
790,743,241
791,112,221
792,357,212
793,156,212
794,571,156
795,692,83
796,442,64
797,537,44
798,213,19
799,136,16
800,303,797
801,147,761
802,9,738
803,508,718
804,195,698
805,561,665
806,38,656
807,116,645
808,634,621
809,794,603
810,524,603
811,511,574
812,698,568
813,716,560
814,790,535
815,567,502
816,695,455
817,665,445
818,651,416
819,635,388
820,742,339
821,621,300
822,699,294
823,587,193
824,481,155
825,575,152
826,743,145
827,527,141
828,48,138
829,422,87
830,564,49
831,687,746
832,438,701
833,454,596
834,675,554
835,691,545
836,557,525
837,412,516
838,538,503
839,555,469
840,621,380
841,326,344
842,585,275
843,369,270
844,659,261
845,529,223
846,686,179
847,637,140
848,131,95
849,661,76
850,355,55
851,39,781
852,266,777
853,258,735
854,549,733
855,708,707
856,739,688
857,675,682
858,535,669
859,612,668
860,727,590
861,774,580
862,65,576
863,46,570
864,682,557
865,799,552
866,649,489
867,769,479
868,439,472
869,606,408
870,310,371
871,702,355
872,69,342
873,733,313
874,623,307
875,445,261
876,724,250
877,346,243
878,673,219
879,744,120
880,202,57
881,555,18
882,496,2
883,401,797
884,317,793
885,645,746
886,608,732
887,756,731
888,790,722
889,791,664
890,639,633
891,431,622
892,749,584
893,405,580
894,567,569
895,512,565
896,768,465
897,753,458
898,330,415
899,625,396
900,627,390
901,586,376
902,612,375
903,796,359
904,719,320
905,702,303
906,720,286
907,351,176
908,625,172
909,390,161
910,671,111
911,634,94
912,493,86
913,641,73
914,548,59
915,580,788
916,699,785
917,85,779
918,616,739
919,797,502
920,686,454
921,54,452
922,765,386
923,748,356
924,691,352
925,635,277
926,757,192
927,733,131
928,241,17
929,260,0
930,617,799
931,557,799
932,18,799
933,400,782
934,408,777
935,287,739
936,778,711
937,701,667
938,633,660
939,786,582
940,717,484
941,702,446
942,699,436
943,626,422
944,672,411
945,739,278
946,539,162
947,467,127
948,556,64
949,31,9
950,276,794
951,687,788
952,764,775
953,327,758
