time	cluster	x0	y0	major	minor	Area	SumIntensity	RawIntensity	MeanIntensity	NumPuncta
22	0	2.610	0.045	0.271	0.102	0.022	0.172	191.000	7.958	0.002
22	1	2.244	0.300	0.335	0.267	0.070	0.441	490.000	6.282	9.000E-4
22	2	0.425	0.952	0.745	0.275	0.161	1.087	1208.000	6.749	0.002
22	3	1.701	1.553	1.231	1.000	0.967	10.247	11386.000	10.592	0.005
22	4	0.307	1.623	0.638	0.331	0.166	1.534	1705.000	9.266	0.002
22	5	1.807	2.267	0.423	0.249	0.083	0.579	643.000	6.989	9.000E-4
22	6	1.111	2.902	0.582	0.222	0.102	0.766	851.000	7.531	9.000E-4
23	0	2.222	0.283	0.316	0.174	0.043	0.260	289.000	6.021	9.000E-4
23	1	0.481	0.956	0.575	0.229	0.103	0.732	813.000	7.070	9.000E-4
23	2	0.070	0.925	0.168	0.123	0.016	0.110	122.000	6.778	0.000
23	3	1.706	1.545	1.300	0.947	0.967	10.307	11452.000	10.653	0.008
23	4	0.315	1.650	0.642	0.364	0.184	1.530	1700.000	8.333	0.003
23	5	1.839	2.269	0.398	0.276	0.086	0.624	693.000	7.219	0.002
23	6	0.976	2.266	0.230	0.155	0.028	0.166	184.000	5.935	9.000E-4
23	7	1.103	2.906	0.642	0.209	0.105	0.850	945.000	8.077	9.000E-4
24	0	2.620	0.055	0.168	0.123	0.016	0.094	104.000	5.778	0.000
24	1	2.247	0.313	0.364	0.167	0.048	0.298	331.000	6.245	9.000E-4
24	2	0.417	0.944	0.758	0.245	0.146	1.056	1173.000	7.241	0.003
24	3	1.707	1.560	1.257	0.947	0.934	9.924	11027.000	10.623	0.010
24	4	0.307	1.616	0.655	0.283	0.146	1.300	1445.000	8.920	0.002
24	5	1.776	2.262	0.443	0.225	0.078	0.575	639.000	7.345	9.000E-4
24	6	1.007	2.252	0.229	0.125	0.022	0.148	164.000	6.560	9.000E-4
24	7	1.134	2.906	0.515	0.225	0.091	0.706	785.000	7.772	9.000E-4
24	8	2.740	2.935	0.202	0.142	0.022	0.140	156.000	6.240	0.000
